Age,Gender,MaritalStatus,EducationLevel,EmploymentStatus,AnnualIncome,LoanAmountRequested,PurposeOfLoan,CreditScore,ExistingLoansCount,LatePaymentsLastYear,LoanApproved
56,Male,Married,Master,Self-employed,1959097.17,1956805.95,Business,728,9,0,1
39,Female,Married,Bachelor,Employed,64832.56,235847.49,Home,816,4,1,0
61,Female,Single,Master,Employed,55602.57,148536.47,Education,519,2,0,0
54,Male,Widowed,High School,Unemployed,820464.34,767600.35,Business,300,4,1,0
37,Male,Widowed,High School,Employed,151712.35,523102.86,Other,605,0,0,0
23,Female,Single,Master,Unemployed,130272.67,375410.88,Personal,300,9,3,0
31,Male,Divorced,High School,Employed,1424013.14,2420893.2,Other,613,7,2,0
62,Male,Married,High School,Employed,95679.4,385661.21,Other,300,7,2,0
34,Male,Single,Master,Employed,1323286.59,5255909.25,Personal,603,6,1,1
41,Female,Widowed,High School,Employed,1073531.32,3217758.92,Other,451,2,4,0
64,Female,Divorced,High School,Retired,1334933.34,5109920.22,Business,578,8,1,0
49,Male,Married,Master,Employed,937110.55,1537183.95,Personal,549,3,1,1
68,Female,Single,Master,Employed,105054.0,489080.82,Business,714,3,1,0
44,Female,Widowed,High School,Self-employed,357425.54,1468401.46,Other,773,7,0,0
54,Male,Married,High School,Unemployed,1212947.69,1722531.8,Business,384,7,8,0
69,Male,Single,Other,Student,155855.5,547347.51,Car,691,7,0,0
66,Male,Widowed,Master,Retired,4489520.06,9491210.69,Business,318,0,2,0
43,Male,Divorced,Bachelor,Self-employed,4680270.05,6019158.79,Home,639,5,0,1
69,Male,Divorced,Bachelor,Employed,4632509.15,9516284.53,Personal,719,5,1,1
43,Male,Married,Bachelor,Employed,528635.25,639558.42,Other,654,0,0,1
56,Male,Married,High School,Employed,3736198.84,2891267.29,Business,487,6,9,0
43,Female,Single,High School,Employed,4605817.13,12120280.87,Education,383,6,8,0
58,Male,Divorced,Master,Employed,249683.1,913136.76,Home,733,0,0,1
52,Female,Widowed,High School,Student,277674.21,1306916.37,Education,835,1,0,0
52,Male,Married,High School,Employed,1006682.51,1206931.41,Home,691,4,0,1
20,Male,Divorced,Other,Unemployed,1033227.1,2980562.78,Car,301,6,5,0
63,Female,Single,Bachelor,Employed,756330.65,3703429.75,Other,537,4,0,0
22,Male,Married,High School,Employed,144324.66,367457.45,Home,584,4,3,0
63,Male,Married,Bachelor,Employed,4288245.52,20676795.89,Personal,769,4,0,1
35,Female,Divorced,High School,Employed,649490.09,3044262.93,Other,682,7,0,0
64,Female,Single,High School,Employed,4776147.21,3756017.93,Car,525,5,0,1
52,Female,Married,Bachelor,Employed,162698.63,503782.83,Car,344,3,3,0
18,Male,Married,High School,Student,69318.93,141704.58,Other,300,1,1,0
68,Female,Married,Master,Student,426742.64,1177365.33,Business,457,5,0,1
69,Male,Single,Bachelor,Employed,59791.5,94829.39,Car,595,7,1,0
62,Female,Single,High School,Student,122385.53,258923.0,Home,684,1,0,0
47,Female,Single,Bachelor,Student,60409.47,124094.49,Personal,508,9,2,0
18,Male,Divorced,Master,Student,383419.74,488844.08,Education,351,4,0,0
33,Male,Single,High School,Student,539961.16,1792587.62,Education,509,9,0,0
43,Male,Widowed,PhD,Student,1681507.66,6816619.49,Home,490,4,6,0
27,Female,Single,Master,Employed,3956047.23,17583577.21,Car,443,2,9,0
62,Female,Divorced,Other,Employed,105886.08,47202.62,Car,653,3,0,1
67,Female,Divorced,Master,Employed,700977.52,511469.46,Business,716,0,2,0
25,Male,Widowed,High School,Student,294960.08,1014635.25,Business,487,6,3,0
67,Male,Divorced,Bachelor,Self-employed,905431.71,3983548.98,Personal,674,9,0,0
52,Female,Divorced,Bachelor,Employed,334353.1,642923.78,Home,727,4,0,1
30,Female,Divorced,Bachelor,Unemployed,1509341.54,1912874.79,Car,457,3,8,0
66,Female,Widowed,Master,Employed,63964.73,306829.45,Other,765,3,0,0
64,Male,Married,Master,Employed,73373.43,40307.72,Home,631,4,1,1
48,Male,Single,Bachelor,Student,64671.41,240026.26,Business,540,9,1,0
24,Female,Single,PhD,Student,355756.59,423572.49,Personal,488,4,5,0
24,Male,Married,Other,Employed,4687833.0,17774167.78,Home,506,5,1,0
36,Female,Widowed,Master,Employed,83438.21,209752.23,Home,306,9,3,0
30,Female,Divorced,Master,Employed,149273.58,307666.61,Other,562,0,0,1
23,Female,Divorced,Bachelor,Employed,2009965.03,9832172.64,Home,605,5,2,0
64,Female,Single,Bachelor,Employed,907334.2,3183988.66,Education,519,6,0,0
29,Male,Single,PhD,Unemployed,4134041.38,1585541.7,Education,466,4,7,0
25,Female,Married,Bachelor,Employed,254492.19,753275.24,Education,300,0,4,0
37,Female,Widowed,Other,Retired,802663.97,1145957.29,Business,373,5,1,1
42,Female,Widowed,High School,Employed,343127.94,1602534.27,Personal,776,6,0,0
18,Female,Widowed,High School,Retired,456783.25,2250982.92,Education,477,0,0,0
18,Male,Single,Other,Employed,53249.3,24987.74,Other,680,4,1,1
54,Male,Single,Bachelor,Employed,1416484.06,5396376.34,Education,507,8,0,0
18,Male,Single,Master,Employed,1102481.66,3449475.9,Car,496,9,9,0
51,Male,Married,High School,Self-employed,448116.98,1870314.93,Other,409,8,0,0
19,Female,Single,Bachelor,Employed,2037320.43,9219771.73,Car,609,1,0,1
44,Female,Widowed,Other,Self-employed,76028.11,278213.11,Education,601,6,0,0
27,Female,Widowed,Bachelor,Unemployed,3565703.72,8954800.78,Business,392,1,5,0
19,Male,Married,Master,Employed,227233.95,727981.28,Other,432,8,6,0
57,Male,Married,Bachelor,Employed,1235870.42,2616510.63,Car,780,1,0,1
